xYear,State,County,Zip,rundatetime,Rx_count_Pat,Rx_count_Pph,Rx_count_Dis,Pat_count,PillCount_Total_Pph,PillCount_Total_Dis,PillCount_Total_Pat,RxCount_Total_Pat,PillCount_Mean_Pat,PatCount_OpBenzo_Pat,MoEquiv_Total_Pph,Schedule2_Rx_Total_Pph,Schedule234Multi_Pat_Total_Pat,PillCount_Schedule234_Rx_Pph,RxCount_Schedule234_Rx_Pph,PillMean_Schedule234_Rx_Pph,PillCount_Schedule2_Rx_Pph,RxCount_Schedule2_Rx_Pph,PillMean_Schedule2_Rx_Pph,RegCount_Pph,RegCount_Dis,PatCount_MultiDisp,PatCount_MultiRxer,InqCount_Pph,InqCount_Dis,PphCount_RxBenzoOpioid,PatCount_Rx90MME,PatCount_Rx40Methadone,Population,Rx Count Pph per 100000,,PatCount_OpBenzo_Pat,RxCount_Schedule234_Rx_Pph,PatCount_MultiDisp,PatCount_MultiRxer
2016,CA,Los Angeles,90312,10SEP2017:10:31:20,3,0,0,3,0,0,70,3,23.3,0,,0,1,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,#DIV/0!,,,,,
2016,CA,Los Angeles,90401,04APR2021:08:30:51,2582,2520,2197,1174,102940,107070,131797,2447,53.9,316,80468,2449,53,9689,237,40.9,204722,4730,43.3,71,11,0,79,21174,3617,21,135,2,"6,722",37488.84261,,,,,
2016,CA,Los Angeles,90402,04APR2021:08:30:51,2666,397,418,1324,17828,30722,147036,2529,58.1,66,15937,633,79,5949,128,46.5,77400,1341,57.7,56,13,2,57,205,885,2,36,0,"12,250",3240.816327,,,,,
2016,CA,Los Angeles,90403,04APR2021:08:30:51,6197,8459,6528,3010,577650,406275,316863,6014,52.7,996,656225,9932,136,112096,1673,67,1188616,18811,63.2,142,31,2,178,6288,13920,50,675,22,"24,525",34491.33537,,,,,
2016,CA,Los Angeles,90404,04APR2021:08:30:51,11645,47284,23936,3842,2761093,1417149,401065,11224,35.7,3185,2435238,28371,133,218486,3642,60,3221649,54046,59.6,623,75,1,245,49097,41657,280,3535,92,"21,360",221367.0412,,,,,
2016,CA,Los Angeles,90405,04APR2021:08:30:51,7398,3490,4305,3348,242662,261397,416154,7002,59.4,251,382337,2122,156,21826,277,78.8,278092,3859,72.1,73,19,3,246,2273,5621,19,298,4,"27,186",12837.48988,,,,,
2016,CA,Los Angeles,90406,10SEP2017:10:31:20,131,63,0,58,1125,0,6318,128,49.4,10,1626,10,2,145,7,20.7,427,22,19.4,3,0,0,4,3,0,1,6,0,,#DIV/0!,,,,,
2016,CA,Los Angeles,90407,10SEP2017:10:31:20,4,36,0,4,490,0,86,4,21.5,2,621,23,1,0,0,,490,35,14,1,0,0,0,0,0,1,3,0,,#DIV/0!,,,,,
2016,CA,Los Angeles,90408,10SEP2017:10:31:20,30,1,0,19,20,0,1173,30,39.1,0,37,1,0,0,0,,20,1,20,0,0,0,1,0,0,0,1,0,,#DIV/0!,,,,,
2016,CA,Los Angeles,90409,10SEP2017:10:31:20,40,0,0,24,0,0,2423,40,60.6,0,,0,1,0,0,,0,0,,2,0,0,1,199,0,0,0,0,,#DIV/0!,,,,,
