,xYear,County,Rx_count_Pat,Rx_count_Pph,Rx_count_Dis,Pat_count,PillCount_Total_Pph,PillCount_Total_Dis,PillCount_Total_Pat,RxCount_Total_Pat,PatCount_OpBenzo_Pat,MoEquiv_Total_Pph,Schedule2_Rx_Total_Pph,Schedule234Multi_Pat_Total_Pat,PillCount_Schedule234_Rx_Pph,RxCount_Schedule234_Rx_Pph,PillMean_Schedule234_Rx_Pph,PillCount_Schedule2_Rx_Pph,RxCount_Schedule2_Rx_Pph,PillMean_Schedule2_Rx_Pph,RegCount_Pph,RegCount_Dis,PatCount_MultiDisp,PatCount_MultiRxer,InqCount_Pph,InqCount_Dis,PphCount_RxBenzoOpioid,PatCount_Rx90MME,PatCount_Rx40Methadone,Population,Unnamed: 35,PatCount_OpBenzo_Pat.1,RxCount_Schedule234_Rx_Pph.1,PatCount_MultiDisp.1,PatCount_MultiRxer.1
18,2016,Los Angeles,2317926,2465560,2430550,1024539,142500094.77499998,158170119.274,132021021,2226136,163381,106078846.0,1340458,33037,10190036.48,174592,15720.800000000012,156859127,2557288,17633.299999999992,29070,9597,419,65903,2485554,3870555.0,10225,134117,4309,9811939.0,0.0,0.0,0.0,0.0,0.0
19,2016,Madera,57901,32227,46663,20804,2039098.0,4010106.0,4130599,56215,1532,1086135.0,14409,746,103894.0,1780,356.3,1979442,28037,448.2,319,125,0,1608,16054,71064.0,91,924,45,150446.0,0.0,0.0,0.0,0.0,0.0
20,2016,Marin,84246,92830,78251,31568,6055528.0,7715600.0,5530937,80194,6153,5745084.0,57875,1074,386787.0,6032,1184.9,7317589,108764,1469.9,1242,248,15,3183,48105,33494.0,422,7624,337,251685.0,0.0,0.0,0.0,0.0,0.0
21,2016,Mariposa,10073,3849,6216,3108,328520.0,492215.0,821032,9527,216,173085.0,1907,96,13456.0,162,203.5,328630,3651,251.49999999999997,27,5,2,195,1054,7348.0,13,184,6,16900.0,0.0,0.0,0.0,0.0,0.0
22,2016,Mendocino,54741,44731,51215,16790,3067600.0,4337645.0,3866852,52771,2077,1936345.0,22172,445,100788.0,1724,671.4,3094634,43771,880.5,283,71,1,1380,32915,17338.0,140,2390,161,87595.0,0.0,0.0,0.0,0.0,0.0
23,2016,Merced,104323,83468,90805,37837,6004727.0,8518277.0,7480456,101508,4609,3777379.0,39715,1200,276465.0,4392,650.3000000000001,5876835,77175,901.5000000000002,337,114,4,2969,86101,111577.0,189,4823,245,254483.0,0.0,0.0,0.0,0.0,0.0
24,2016,Modoc,4783,3076,4158,1245,268789.0,348116.0,409481,4638,137,95248.0,1345,25,8870.0,106,318.59999999999997,263420,2868,364.5,16,7,0,136,684,1479.0,10,106,6,8506.0,0.0,0.0,0.0,0.0,0.0
25,2016,Mono,3220,4312,3842,1525,192404.0,163597.0,161732,3164,145,91454.0,2023,45,9648.0,242,49.1,206122,4391,82.5,47,5,0,101,1401,399.0,21,138,11,12975.0,0.0,0.0,0.0,0.0,0.0
26,2016,Monterey,119700,107396,108254,47174,6758513.5,10788729.0,7584094,116894,7587,6380840.0,56615,1650,471355.0,7918,1312.1,7053303,110145,1398.9,992,264,13,3229,121209,112610.0,419,7813,358,402842.0,0.0,0.0,0.0,0.0,0.0
27,2016,Napa,62731,61029,53622,19905,4136396.0,4733943.6,4032256,60881,2730,3409894.0,31569,568,141344.0,2350,319.3,4282645,61382,420.5,466,120,2,1922,40671,11953.0,206,4283,167,137050.0,0.0,0.0,0.0,0.0,0.0
28,2016,Nevada,49784,42497,43674,16802,3090108.0,4080255.0,3892364,47364,2643,2236490.0,23138,474,118910.0,1816,395.2,3255725,43877,480.7,324,68,4,1492,27945,51416.0,160,2932,170,95997.0,0.0,0.0,0.0,0.0,0.0
29,2016,Orange,875178,972294,875846,358318,59487514.999,62703728.5,53690864,827029,70027,57503412.0,569324,11908,4092913.875,69694,4945.299999999999,68430212,1076417,5820.900000000001,9709,3945,208,26980,1456221,1527427.0,3724,62626,2762,3016237.0,0.0,0.0,0.0,0.0,0.0
30,2016,Placer,167868,244568,223936,58502,18074591.0,19556246.0,12032723,159078,14546,12463688.0,135285,1610,778431.3,11459,1015.0999999999999,19496497,256667,1209.8999999999999,1555,440,25,7021,185317,181664.0,748,18667,879,351384.0,0.0,0.0,0.0,0.0,0.0
31,2016,Plumas,10350,9329,10236,2940,762586.0,1078059.0,868782,10026,506,346598.0,4666,78,28331.0,395,310.6,762885,9059,402.3,55,7,0,255,4565,1849.0,31,436,42,18613.0,0.0,0.0,0.0,0.0,0.0
32,2016,Riverside,831360,693444,754566,317664,47270746.5,62162164.0,56669977,800275,43618,49547208.0,357391,10614,2673192.0,43347,3585.899999999999,48318852,682631,4382.5999999999985,4252,1584,153,25333,958750,829278.0,1929,37046,1219,2191564.0,0.0,0.0,0.0,0.0,0.0
33,2016,Sacramento,649445,653523,610660,223808,47525211.0,53683233.0,46749019,625029,35322,30410934.0,347738,5313,1780095.5,27263,2708.2999999999993,49897154,666984,3144.4000000000005,5437,1753,137,28154,749165,820123.0,2119,41992,1867,1420705.0,0.0,0.0,0.0,0.0,0.0
34,2016,San Benito,19372,14761,17070,7621,1376934.0,1882718.0,1453721,18598,603,1102281.0,7300,207,54525.0,696,78.3,1396129,14937,184.89999999999998,50,30,4,479,6727,5163.0,27,1332,106,53857.0,0.0,0.0,0.0,0.0,0.0
35,2016,San Bernardino,793966,776706,772568,292666,52798327.5,59268193.0,53788509,760029,42005,29536081.0,382921,9199,2571375.0,41518,3312.2,52758766,727130,3836.9,4940,1547,91,22844,580678,1011545.0,2036,38089,924,2032042.0,0.0,0.0,0.0,0.0,0.0
36,2016,San Diego,982860,1018182,1029643,395491,65010720.19,79636806.28,63142680,946997,60355,49713183.0,589319,10642,3449152.5,55482,5921.500000000004,73855985,1139370,6910.199999999997,11548,3220,248,30722,1192869,1074427.0,3823,69823,1780,3091958.0,0.0,0.0,0.0,0.0,0.0
37,2016,San Francisco,198846,290274,194181,81935,18846915.905,14114394.155,12210471,191406,17481,17207337.0,172704,2603,1047375.65,17270,1570.1,21850936,333303,1919.7999999999997,6204,1227,98,6917,299546,209146.0,1765,24451,1358,805232.0,0.0,0.0,0.0,0.0,0.0
38,2016,San Joaquin,310648,269487,330917,108122,16815275.0,26506983.0,19849716,301841,15253,10735116.0,134235,3385,821873.0,14383,1559.8999999999996,16840829,257538,1684.2000000000003,1335,592,22,8807,73668,213449.0,630,12399,915,684518.0,0.0,0.0,0.0,0.0,0.0
39,2016,San Luis Obispo,114308,103710,113212,39937,7413274.25,10270310.75,8336135,108294,7395,5435210.0,58769,1530,491543.4,7179,1080.8,8057620,112378,1444.9,873,268,3,4604,98945,59567.0,334,7085,327,269227.0,0.0,0.0,0.0,0.0,0.0
40,2016,San Mateo,176600,176340,180849,74025,10819860.0,13421632.5,10569466,166967,10378,10025771.0,100273,1934,617996.0,10084,1276.1,12226170,189011,1482.3999999999999,2804,819,57,6315,131500,190751.0,864,13811,603,690399.0,0.0,0.0,0.0,0.0,0.0
41,2016,Santa Barbara,140404,161697,135543,54636,10776869.5,12060490.0,9181703,133674,11850,7855120.0,92746,2068,734771.0,11850,1401.4,12024420,176557,1628.4999999999998,1349,283,20,5317,405572,135846.0,583,12147,441,424106.0,0.0,0.0,0.0,0.0,0.0
42,2016,Santa Clara,393132,454828,371621,179381,24269943.27,24848495.0,20412729,376157,25005,21229721.0,250705,4358,1255023.0,23020,2853.800000000001,27683062,474925,3412.299999999999,7842,1950,147,13672,310592,397887.0,2236,31161,1208,1805212.0,0.0,0.0,0.0,0.0,0.0
43,2016,Santa Cruz,101423,94995,90157,37990,5865163.5,7949202.0,6254683,96948,6281,4828250.0,53191,1124,317974.0,5699,772.0,6511626,103082,924.5999999999999,927,167,17,2910,98425,60465.0,387,6800,476,280225.0,0.0,0.0,0.0,0.0,0.0
44,2016,Shasta,131035,131829,120158,37615,10327636.5,13325586.5,10480649,125855,6574,5754453.0,70000,1411,573284.0,8103,840.5999999999999,10653125,135174,930.9,603,196,4,3225,73492,174998.0,321,6795,461,184231.0,0.0,0.0,0.0,0.0,0.0
45,2016,Sierra,994,182,195,358,13016.0,19299.0,78627,945,11,8371.0,86,4,0.0,0,0.0,13235,184,116.5,5,1,0,18,63,40.0,1,14,1,2910.0,0.0,0.0,0.0,0.0,0.0
46,2016,Siskiyou,29483,25557,28252,8111,2022443.0,2354825.0,2297785,28410,1042,1237183.0,13886,185,69477.0,1032,433.8,2092728,26148,646.0,130,35,0,599,13994,11107.0,67,1265,149,46055.0,0.0,0.0,0.0,0.0,0.0
47,2016,Solano,185972,157942,190832,62451,10549868.5,15157833.5,12950218,179493,7029,7244257.0,80864,1498,386543.0,6262,798.1,11139808,156016,917.3,1314,402,20,6788,66406,152347.0,499,9884,496,412119.0,0.0,0.0,0.0,0.0,0.0
48,2016,Sonoma,233461,227459,213580,75019,16339747.5,19685858.0,16606504,225632,12774,13585541.0,120196,2157,779905.018,11099,1298.2999999999997,17522700,233780,1376.9999999999998,1740,384,31,9503,188504,161717.0,772,17000,1041,484213.0,0.0,0.0,0.0,0.0,0.0
49,2016,Stanislaus,309952,323013,284373,96030,25219148.7,26337092.0,22943040,301252,17420,16673753.0,164219,2989,1026716.0,15367,1142.4,25234661,315787,1384.1000000000004,1253,368,15,9608,141065,346055.0,655,18414,1297,518345.0,0.0,0.0,0.0,0.0,0.0
50,2016,Sutter,55578,59569,57464,17797,5151001.0,6276991.0,4638932,53149,3295,3400885.0,32004,609,237309.0,3303,318.4,5267960,60447,213.3,245,70,5,1362,15902,50121.0,107,3740,155,93812.0,0.0,0.0,0.0,0.0,0.0
51,2016,Tehama,36185,24311,36447,10980,2122129.0,3973743.0,2976552,34773,1335,898560.0,12133,304,94829.0,1294,171.2,2138672,24627,291.6,129,31,4,842,19308,54033.0,55,1018,116,54639.0,0.0,0.0,0.0,0.0,0.0
52,2016,Trinity,9799,6949,7071,2599,633474.0,872362.0,836552,9529,404,353053.0,3224,86,34202.0,438,211.5,631255,6839,244.10000000000002,25,4,0,203,2195,2024.0,15,440,63,13701.0,0.0,0.0,0.0,0.0,0.0
